source_experiment_id	audit_experiment_id	scope	material	series_id	solver	volume_ratio	density_format	density_path	density_sha256	expected_electrons	integrated_electrons	relative_error	certified_relative_error	accepted	delta_energy_mev_per_atom	delta_pressure_gpa	scientific_equivalence_accepted	evidence_revision	kmp_contract_accepted	kmp_rank_lifecycle_count	kmp_successful_syscall_count	point_accepted
S1-20260805-070		primary_baseline	mg	ksdft_half	ksdft	1.1000000000000003	abacus_reciprocal_restart_little_endian	runs/S1-20260805-070/OUT.s1_mg_v110_ksdft_half/s1_mg_v110_ksdft_half-CHARGE-DENSITY.restart	751ba516346d120d17ee86d61714831c117dbc3d15ab3b839ac6a88c8f50eee4	4.0	4.000000000006458	1.614452507784952e-12	1.614452507784952e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-071	S1-20260805-135	primary_baseline	al	ofdft_next_cutoff	ofdft	0.9	abacus_cube_text_bohr_minus_3	runs/S1-20260805-135/OUT.g1_ne_135_from_071/chg.cube	c37557f9ca51e58b6f06c660acd6f754f9e109f10cdb3c4f9c2b29d0dde94513	3.0	3.0	7.160161730937315e-17	7.325718328121943e-17	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-072	S1-20260805-136	primary_baseline	al	ofdft_next_cutoff	ofdft	0.9400000000000002	abacus_cube_text_bohr_minus_3	runs/S1-20260805-136/OUT.g1_ne_136_from_072/chg.cube	4aeb2311bdbbc87adf8b8139ff0a48461780dd98ae400fae9ca85e1e8c2aba34	3.0	3.0000000000000004	1.3682502372440001e-16	1.385541704061061e-16	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-073	S1-20260805-137	primary_baseline	al	ofdft_next_cutoff	ofdft	0.9700000000000003	abacus_cube_text_bohr_minus_3	runs/S1-20260805-137/OUT.g1_ne_137_from_073/chg.cube	e00ccbb841ca612eddeb54de41d9adec430551249563dd9fdd462e644f209bb4	3.0	2.9999999999999996	1.18417521616717e-16	1.2020185383081796e-16	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-074	S1-20260805-138	primary_baseline	al	ofdft_next_cutoff	ofdft	1.0	abacus_cube_text_bohr_minus_3	runs/S1-20260805-138/OUT.g1_ne_138_from_074/chg.cube	301270f66b8b3e77420bc7bad402a741c28597c49bfc284758de38336c208ffd	3.0	2.9999999999999996	1.831648662088066e-16	1.850144705411562e-16	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-075	S1-20260805-139	primary_baseline	al	ofdft_next_cutoff	ofdft	1.03	abacus_cube_text_bohr_minus_3	runs/S1-20260805-139/OUT.g1_ne_139_from_075/chg.cube	a56d76c3fea631cf461c8b679c6ffe4b0bf3276a9ef2d082a39412cd40f5f084	3.0	3.0000000000000004	1.4069298042300473e-16	1.425980728853248e-16	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-076	S1-20260805-140	primary_baseline	al	ofdft_next_cutoff	ofdft	1.06	abacus_cube_text_bohr_minus_3	runs/S1-20260805-140/OUT.g1_ne_140_from_076/chg.cube	4d066614ba119c4c355e26bbbecbfd40f3c690a9e46901e7b8e46c987e9f138c	3.0	2.999999999999999	2.532933697467963e-16	2.5525395033908687e-16	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-077	S1-20260805-141	primary_baseline	al	ofdft_next_cutoff	ofdft	1.1000000000000005	abacus_cube_text_bohr_minus_3	runs/S1-20260805-141/OUT.g1_ne_141_from_077/chg.cube	2f5c21e2dd38ad603838cc592a53653657e4f36ff8ef7f1893d9c7a67c263e22	3.0	2.9999999999999996	9.821932150196892e-17	1.0025388626755347e-16	True	0.0	0.0	True	r2_executed_ofdft	True	4	12	True
S1-20260805-078		primary_baseline	al	ksdft_next_cutoff	ksdft	0.9	abacus_reciprocal_restart_little_endian	runs/S1-20260805-078/OUT.s1_al_v090_ksdft_next_cutoff/s1_al_v090_ksdft_next_cutoff-CHARGE-DENSITY.restart	2caabe1d05cffc3d290c1f58cbb158b3db63b2de4e62a54a1da2e17bed23c5c6	3.0	2.9999999999775775	7.474129011105465e-12	7.474129011105465e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-079		primary_baseline	al	ksdft_next_cutoff	ksdft	0.9400000000000002	abacus_reciprocal_restart_little_endian	runs/S1-20260805-079/OUT.s1_al_v094_ksdft_next_cutoff/s1_al_v094_ksdft_next_cutoff-CHARGE-DENSITY.restart	42a32e6e7bbff58c23869ad2bd08b3e78ac884154700a491469c41ef9414a356	3.0	3.000000000001853	6.176997285530359e-13	6.176997285530359e-13	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
