dimension	local_index	grid	displacement_angstrom	maximum_angle_degrees	principal_angles_degrees	bottom_eigenvalues
6	5	144	-0.05	6.590548231996278	[6.590548231996278,0.4422909081396993]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
6	6	144	-0.025	9.588661262379098	[9.588661262379098,5.034233303017441]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
6	7	144	0.0	14.036276688615725	[14.036276688615725,2.0852090232773945]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
6	8	144	0.025	11.551200912923322	[11.551200912923322,5.751600043385304]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
6	9	144	0.05	6.869471986766277	[6.869471986766277,0.8404522484325512]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
7	0	128	-0.05	5.864928312665266	[5.864928312665266,0.348985537496895]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
7	1	128	-0.025	17.129823067324175	[17.129823067324175,2.6672398291677446]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
7	2	128	0.0	12.20011083109863	[12.20011083109863,1.874530053480788]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
7	3	128	0.025	11.653092114241444	[11.653092114241444,3.5458871896844903]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
7	4	128	0.05	5.683078382368064	[5.683078382368064,0.2396217075698584]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
7	5	144	-0.05	6.183173701868461	[6.183173701868461,0.3999560641722128]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
7	6	144	-0.025	6.509506332909534	[6.509506332909534,3.302495279999557]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
7	7	144	0.0	12.302972611610475	[12.302972611610475,2.064435620882262]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
7	8	144	0.025	5.753467341958179	[5.753467341958179,2.833342027779906]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
7	9	144	0.05	5.751499282924424	[5.751499282924424,0.599892891392837]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
8	0	128	-0.05	0.7481937243041196	[0.7481937243041196,0.28070488896648277]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
8	1	128	-0.025	2.8426954748365096	[2.8426954748365096,2.177729835888282]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
8	2	128	0.0	1.8792038330334448	[1.8792038330334448,0.3172507545259028]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
8	3	128	0.025	4.006958003332495	[4.006958003332495,2.3429129086528073]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
8	4	128	0.05	0.8532919935259968	[0.8532919935259968,0.18132314018235374]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
8	5	144	-0.05	0.6571378937597941	[0.6571378937597941,0.3733339690916016]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
8	6	144	-0.025	3.3449845673959318	[3.3449845673959318,1.947978588600024]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
8	7	144	0.0	2.0645359446287417	[2.0645359446287417,0.3217233997260126]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
8	8	144	0.025	3.928147565383261	[3.928147565383261,2.010747180857317]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
8	9	144	0.05	0.8613343199778336	[0.8613343199778336,0.5051218498805006]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
9	0	128	-0.05	0.6929438181024188	[0.6929438181024188,0.21083951620298502]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
9	1	128	-0.025	2.448010095034154	[2.448010095034154,1.1860794648676043]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
9	2	128	0.0	1.6782133369151475	[1.6782133369151475,0.31569151170350135]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
9	3	128	0.025	2.347608781727603	[2.347608781727603,0.7583630575785141]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
9	4	128	0.05	0.8109999402342606	[0.8109999402342606,0.11729659548830781]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
9	5	144	-0.05	0.5552136600251576	[0.5552136600251576,0.32244347502968934]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
9	6	144	-0.025	2.389464017241551	[2.389464017241551,1.0332168349822943]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
9	7	144	0.0	1.842811058684583	[1.842811058684583,0.3203409085625745]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
9	8	144	0.025	2.145749679011996	[2.145749679011996,1.0601237812214521]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
9	9	144	0.05	0.805692876668643	[0.805692876668643,0.2618535809627488]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
10	0	128	-0.05	0.2749862440299492	[0.2749862440299492,0.17743514093499288]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
10	1	128	-0.025	1.3197959356879732	[1.3197959356879732,0.21238263121883885]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
10	2	128	0.0	0.37913573266011463	[0.37913573266011463,0.116540722366534]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
10	3	128	0.025	1.1289140291806385	[1.1289140291806385,0.20610626554140382]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
10	4	128	0.05	0.30230458567375135	[0.30230458567375135,0.1047131188554414]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
10	5	144	-0.05	0.4651388676118926	[0.4651388676118926,0.19735693390309053]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
10	6	144	-0.025	1.5044851339271648	[1.5044851339271648,0.5063231885146032]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
10	7	144	0.0	0.411288463242618	[0.411288463242618,0.11971492290783747]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
10	8	144	0.025	1.2350217852748933	[1.2350217852748933,0.40665779293700616]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
10	9	144	0.05	0.3011543718346917	[0.3011543718346917,0.20995676787913747]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
11	0	128	-0.05	0.1999223503573216	[0.1999223503573216,0.08374489865458483]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
11	1	128	-0.025	0.21979605882771927	[0.21979605882771927,0.015298019493874365]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
11	2	128	0.0	0.13996654516252688	[0.13996654516252688,0.006524907268828745]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
11	3	128	0.025	0.22319870759392682	[0.22319870759392682,0.020839888120269514]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
11	4	128	0.05	0.2899746250059764	[0.2899746250059764,0.08916521399925874]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
11	5	144	-0.05	0.2791070619449654	[0.2791070619449654,0.13534029493838584]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
11	6	144	-0.025	0.5065624327344135	[0.5065624327344135,0.036210962729760154]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
11	7	144	0.0	0.15363677833914957	[0.15363677833914957,0.006621022006612998]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
11	8	144	0.025	0.4067188417614035	[0.4067188417614035,0.034786349084758104]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
11	9	144	0.05	0.2754099958759292	[0.2754099958759292,0.17749196451385593]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
12	0	128	-0.05	0.19021363405909472	[0.19021363405909472,0.06204353920567063]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
12	1	128	-0.025	0.0802922071563407	[0.0802922071563407,0.01527422208581525]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
12	2	128	0.0	0.1386378991043726	[0.1386378991043726,0.006197806002292755]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
12	3	128	0.025	0.05148542755762904	[0.05148542755762904,0.02066908375989857]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
12	4	128	0.05	0.22240879481064768	[0.22240879481064768,0.06080725384353987]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
12	5	144	-0.05	0.24355453367110133	[0.24355453367110133,0.1322019401866803]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
12	6	144	-0.025	0.19407527601490668	[0.19407527601490668,0.03568689797237422]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
12	7	144	0.0	0.15216036312726428	[0.15216036312726428,0.00626265975326287]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
12	8	144	0.025	0.1110234319084337	[0.1110234319084337,0.0333162691018092]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
12	9	144	0.05	0.24928429781798284	[0.24928429781798284,0.17074237296195016]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
13	0	128	-0.05	0.07436329892361555	[0.07436329892361555,0.06202401556978607]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
13	1	128	-0.025	0.018880161377204756	[0.018880161377204756,0.008604269734141046]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
